NET,Predicted PSNR,Valid PSNR,Params,FLOPs
"[1, 7, 4, 3, 7, 4, 4, 7, 3, 0, 6, 1, 2, 7, 7, 4, 7, 5, 2, 2, 4, 5, 7, 1, 2, 1, 3, 4]",32.86255482,34.85128021,84512,347348992
"[1, 7, 4, 3, 7, 4, 4, 7, 3, 0, 6, 0, 2, 7, 7, 4, 7, 5, 2, 2, 4, 5, 7, 1, 2, 1, 4, 3]",32.79440267,34.55883789,13952,58138624
"[1, 7, 4, 3, 7, 4, 4, 7, 3, 0, 6, 0, 2, 7, 7, 4, 7, 5, 2, 2, 4, 5, 7, 1, 2, 1, 4, 4]",32.79308458,34.4773674,10784,45359104
"[1, 7, 4, 3, 7, 4, 4, 7, 3, 0, 7, 1, 2, 7, 7, 4, 7, 5, 2, 2, 4, 5, 7, 1, 2, 1, 4, 4]",32.76465714,34.42035675,7616,32579584
"[1, 7, 4, 3, 7, 4, 4, 7, 3, 0, 7, 1, 2, 7, 7, 4, 7, 5, 2, 3, 4, 5, 7, 1, 2, 1, 4, 4]",32.73090164,34.38175201,7616,32047104
"[1, 7, 4, 3, 7, 4, 4, 7, 3, 0, 7, 1, 2, 7, 7, 4, 7, 5, 2, 2, 4, 4, 7, 1, 2, 1, 4, 4]",32.70015975,33.38544083,6560,28053504
"[0, 7, 4, 3, 7, 4, 4, 7, 3, 0, 6, 0, 2, 7, 7, 4, 7, 5, 2, 2, 4, 5, 7, 1, 2, 1, 4, 4]",32.66969839,33.96707535,3904,16943104
"[0, 7, 4, 3, 7, 4, 0, 7, 4, 6, 7, 4, 4, 7, 7, 4, 7, 4, 0, 7, 5, 2, 7, 1, 2, 7, 5, 4]",31.85523429,33.59106827,2272,10321920
"[0, 7, 4, 3, 7, 4, 4, 7, 3, 0, 7, 1, 2, 7, 0, 4, 7, 5, 2, 2, 4, 5, 7, 1, 2, 1, 4, 3]",32.43018993,34.14280701,3904,16943104
"[0, 7, 4, 3, 7, 4, 4, 7, 3, 0, 6, 0, 2, 7, 7, 4, 7, 5, 2, 2, 4, 5, 7, 1, 2, 1, 4, 3]",32.69391193,34.16478348,4720,20187136
"[1, 7, 4, 3, 7, 4, 4, 7, 3, 0, 6, 0, 2, 7, 7, 4, 7, 5, 2, 2, 4, 5, 7, 1, 2, 1, 4, 3]",32.79440267,34.55883789,13952,58138624
"[1, 7, 4, 3, 7, 4, 4, 7, 3, 0, 6, 0, 2, 7, 7, 4, 7, 5, 2, 2, 4, 5, 7, 1, 2, 1, 4, 4]",32.79308458,34.4773674,10784,45359104
"[1, 7, 4, 3, 7, 4, 4, 7, 3, 0, 7, 1, 2, 7, 7, 4, 7, 5, 2, 2, 4, 5, 7, 1, 2, 1, 4, 4]",32.76465714,34.42035675,7616,32579584
"[1, 7, 4, 3, 7, 4, 4, 7, 3, 0, 6, 1, 2, 7, 7, 4, 7, 5, 2, 2, 4, 5, 7, 1, 2, 1, 3, 4]",32.86255482,34.85128021,84512,347348992
"[1, 7, 4, 3, 7, 4, 4, 7, 3, 0, 7, 1, 2, 7, 7, 4, 7, 5, 2, 3, 4, 5, 7, 1, 2, 1, 4, 4]",32.73090164,34.38175201,7616,32047104
"[1, 7, 4, 3, 7, 4, 4, 7, 3, 0, 7, 1, 2, 7, 7, 4, 7, 5, 2, 2, 4, 4, 7, 1, 2, 1, 4, 4]",32.70015975,33.38544083,6560,28053504
"[0, 7, 4, 3, 7, 4, 4, 7, 3, 0, 6, 0, 2, 7, 7, 4, 7, 5, 2, 2, 4, 5, 7, 1, 2, 1, 4, 3]",32.69391193,34.16478348,4720,20187136
"[0, 7, 4, 3, 7, 4, 4, 7, 3, 0, 6, 0, 2, 7, 7, 4, 7, 5, 2, 2, 4, 5, 7, 1, 2, 1, 4, 4]",32.66969839,33.96707535,3904,16943104
"[0, 7, 4, 3, 7, 4, 0, 7, 3, 6, 7, 4, 4, 7, 7, 4, 7, 4, 0, 7, 5, 2, 7, 1, 2, 7, 5, 4]",31.8337907,33.78348541,2272,10321920
"[1, 7, 4, 3, 7, 4, 4, 7, 3, 0, 6, 0, 2, 7, 7, 4, 7, 5, 2, 2, 4, 5, 7, 1, 2, 1, 4, 3]",32.79440267,34.55883789,13952,58138624
