NET,Predicted SynFlow,Valid PSNR,Params,FLOPs
"[7, 7, 5, 4, 7, 1, 5, 6, 7, 1, 0, 7, 5, 7, 5, 1, 7, 2, 5, 7, 7, 6, 7, 4, 3, 7, 0, 5]",479959.56,35.28844833,811872,3326017536
"[7, 7, 4, 4, 7, 1, 5, 6, 7, 1, 0, 6, 4, 7, 5, 1, 7, 5, 3, 7, 1, 5, 7, 5, 3, 7, 6, 6]",364780.2,34.80451965,512800,2101149696
"[7, 7, 4, 4, 7, 1, 5, 6, 6, 1, 1, 6, 4, 7, 5, 1, 7, 5, 2, 7, 7, 6, 7, 4, 3, 7, 0, 5]",323200.34,34.96363068,316192,1295843328
"[5, 7, 4, 4, 7, 1, 3, 7, 1, 6, 7, 4, 7, 7, 5, 1, 7, 0, 4, 0, 7, 6, 7, 7, 3, 7, 7, 5]",319840.25,34.44270325,155072,636026880
"[4, 7, 4, 4, 7, 2, 5, 6, 7, 1, 6, 6, 5, 7, 5, 1, 7, 0, 2, 7, 7, 5, 7, 4, 3, 7, 1, 2]",264284.25,34.59231186,40224,165642240
"[4, 7, 4, 4, 7, 2, 4, 7, 1, 6, 7, 4, 7, 7, 5, 1, 7, 0, 2, 7, 1, 5, 7, 5, 3, 7, 1, 2]",42337.77,31.87863731,2272,10321920
"[4, 7, 4, 4, 7, 2, 5, 6, 6, 1, 0, 6, 5, 7, 5, 1, 7, 0, 3, 7, 1, 5, 7, 5, 3, 7, 1, 2]",194125.25,34.67798233,27936,115310592
"[7, 7, 4, 4, 7, 2, 6, 6, 7, 1, 0, 6, 5, 7, 5, 1, 7, 5, 2, 7, 1, 5, 7, 5, 3, 7, 0, 5]",418004.34,35.35400391,615264,2520711168
"[7, 7, 4, 3, 7, 1, 5, 6, 7, 1, 0, 6, 5, 7, 5, 1, 7, 5, 2, 7, 1, 5, 7, 5, 3, 7, 0, 5]",418004.34,35.03932953,615264,2520711168
"[7, 7, 4, 4, 7, 2, 5, 6, 7, 1, 0, 6, 4, 7, 5, 1, 7, 5, 3, 7, 1, 5, 7, 5, 3, 7, 0, 5]",364780.2,34.96873856,512800,2101149696
"[7, 7, 4, 4, 7, 1, 5, 6, 6, 1, 1, 6, 4, 7, 5, 1, 7, 5, 2, 7, 7, 6, 7, 4, 3, 7, 0, 5]",323200.34,35.15419769,316192,1295843328
"[7, 7, 5, 4, 7, 1, 5, 6, 7, 1, 0, 7, 5, 7, 5, 1, 7, 2, 5, 7, 7, 6, 7, 4, 3, 7, 0, 5]",479959.56,35.23486328,811872,3326017536
"[5, 7, 4, 4, 7, 0, 3, 7, 1, 6, 7, 4, 7, 7, 5, 1, 7, 0, 4, 0, 7, 6, 7, 7, 3, 7, 7, 6]",319840.25,34.09374619,155072,636026880
"[4, 7, 4, 4, 7, 2, 5, 6, 7, 1, 6, 6, 5, 7, 5, 1, 7, 0, 3, 7, 1, 5, 7, 4, 3, 7, 1, 2]",264284.25,34.6087265,40224,165642240
"[4, 7, 4, 4, 7, 2, 5, 6, 6, 1, 0, 6, 5, 7, 2, 1, 7, 0, 3, 7, 1, 5, 7, 5, 3, 7, 1, 2]",194125.25,34.425457,27936,115310592
"[4, 7, 4, 4, 7, 2, 4, 7, 1, 6, 7, 4, 5, 7, 5, 1, 7, 2, 5, 7, 7, 6, 7, 4, 3, 7, 1, 2]",63220.402,33.4311676,2272,10321920
"[7, 7, 4, 4, 7, 2, 6, 6, 7, 1, 0, 6, 5, 7, 5, 1, 7, 2, 5, 7, 7, 6, 7, 4, 3, 7, 0, 5]",418004.34,35.34061432,615264,2520711168
"[7, 7, 4, 4, 7, 2, 5, 6, 7, 1, 0, 6, 4, 7, 5, 1, 7, 5, 2, 7, 1, 5, 7, 5, 3, 7, 0, 5]",364780.2,34.22737122,512800,2101149696
"[7, 7, 4, 4, 7, 2, 5, 6, 6, 1, 1, 6, 4, 7, 5, 1, 7, 5, 2, 7, 0, 6, 7, 4, 3, 7, 0, 5]",323200.34,35.53321457,316192,1295843328
"[7, 7, 5, 4, 7, 1, 5, 6, 7, 1, 0, 7, 5, 7, 5, 1, 7, 2, 5, 7, 7, 6, 7, 4, 3, 7, 0, 5]",479959.56,33.46295166,811872,3326017536
