NET,Predicted PSNR,Valid PSNR,Params,FLOPs
"[0, 7, 6, 4, 7, 6, 4, 7, 4, 3, 3, 0, 4, 7, 7, 6, 7, 3, 1, 7, 7, 1, 7, 2, 3, 7, 4, 2]",34.65550209,34.15023346,2544,11403264
"[0, 7, 6, 3, 7, 7, 6, 7, 1, 3, 2, 0, 4, 7, 4, 0, 7, 5, 6, 7, 7, 1, 7, 4, 7, 7, 2, 5]",29.37913024,33.91601105,2544,11469824
"[0, 7, 6, 3, 7, 7, 6, 7, 2, 3, 2, 0, 4, 7, 0, 5, 7, 3, 0, 7, 0, 3, 7, 4, 7, 7, 2, 6]",26.72395034,33.46974106,2544,11469824
"[0, 7, 7, 4, 7, 6, 1, 7, 4, 3, 3, 0, 4, 7, 0, 0, 7, 4, 6, 7, 7, 1, 7, 3, 3, 7, 4, 2]",32.69521964,34.33448334,2544,11403264
"[0, 7, 6, 4, 7, 5, 6, 7, 0, 0, 2, 0, 4, 7, 0, 5, 7, 3, 0, 7, 0, 3, 7, 4, 7, 7, 2, 7]",33.23072379,33.5715477,2544,11469824
"[0, 7, 6, 4, 7, 4, 6, 7, 1, 3, 2, 0, 4, 7, 3, 0, 7, 5, 6, 7, 7, 1, 7, 4, 7, 7, 2, 6]",31.50495836,34.12797852,2544,11469824
"[0, 7, 6, 3, 7, 7, 6, 7, 1, 3, 2, 0, 4, 7, 0, 5, 7, 2, 7, 7, 0, 5, 7, 4, 7, 7, 2, 5]",23.34246882,32.22080917,2544,11469824
"[0, 7, 6, 4, 7, 7, 7, 7, 2, 0, 2, 0, 4, 7, 0, 5, 7, 2, 7, 7, 0, 2, 7, 4, 7, 7, 1, 7]",18.82470888,34.32244797,2544,11469824
"[0, 7, 6, 4, 7, 7, 6, 7, 4, 0, 2, 0, 4, 7, 2, 3, 7, 4, 1, 7, 0, 0, 7, 4, 3, 7, 4, 1]",34.51323362,33.90801926,2544,11469824
"[0, 7, 6, 4, 7, 6, 1, 7, 4, 3, 3, 0, 4, 7, 0, 0, 7, 4, 6, 7, 7, 1, 7, 3, 3, 7, 4, 2]",32.69506012,33.24335022,2544,11403264
