NET,Predicted PSNR,Valid PSNR,Params,FLOPs
"[2, 7, 5, 5, 7, 1, 5, 7, 4, 4, 0, 4, 1, 7, 3, 4, 6, 4, 1, 7, 3, 1, 3, 1, 3, 2, 5, 4]",33.35963558,35.06878128,119952,496911360
"[0, 7, 5, 5, 7, 1, 5, 7, 4, 3, 0, 4, 1, 7, 2, 4, 7, 3, 1, 7, 3, 1, 3, 1, 3, 2, 5, 4]",33.32038216,34.21238937,14416,60433408
"[0, 7, 5, 5, 7, 1, 5, 7, 4, 3, 0, 4, 1, 7, 2, 4, 7, 3, 1, 7, 3, 1, 4, 1, 3, 2, 5, 4]",33.27495756,33.56809464,6864,29369344
"[0, 7, 4, 5, 7, 1, 5, 7, 4, 3, 0, 4, 1, 7, 3, 4, 6, 4, 1, 7, 3, 1, 4, 1, 4, 2, 4, 4]",33.18636624,32.58585205,4064,17499136
"[4, 7, 3, 4, 7, 1, 3, 7, 3, 4, 7, 4, 0, 7, 1, 1, 7, 0, 1, 7, 3, 2, 7, 1, 4, 7, 3, 4]",32.28971033,33.68770828,2272,10321920
"[0, 7, 5, 5, 7, 1, 5, 7, 4, 3, 0, 4, 1, 7, 3, 4, 7, 3, 1, 7, 3, 1, 3, 1, 3, 2, 5, 4]",33.29345735,34.01869812,14416,60433408
"[0, 7, 5, 5, 7, 1, 5, 7, 4, 4, 0, 4, 1, 7, 3, 4, 7, 4, 1, 7, 3, 1, 4, 1, 3, 2, 4, 4]",33.23357373,34.33289566,4816,20448256
"[0, 7, 4, 5, 7, 1, 5, 7, 4, 4, 0, 4, 1, 7, 3, 4, 7, 3, 1, 7, 3, 1, 3, 1, 3, 2, 5, 4]",33.27934243,34.11510315,14416,60433408
"[0, 7, 5, 5, 7, 1, 5, 7, 4, 3, 0, 4, 1, 7, 2, 4, 7, 4, 1, 7, 3, 1, 4, 1, 3, 2, 4, 4]",33.23163667,33.26761475,4816,20448256
"[0, 7, 5, 5, 7, 1, 5, 7, 4, 4, 0, 4, 1, 7, 3, 4, 7, 3, 1, 7, 3, 1, 3, 1, 3, 2, 5, 4]",33.29604789,33.52167358,14416,60433408
"[0, 7, 4, 5, 7, 1, 5, 7, 4, 3, 0, 4, 1, 7, 3, 4, 7, 3, 1, 7, 3, 1, 3, 1, 3, 2, 5, 4]",33.2767519,33.73325958,14416,60433408
"[0, 7, 5, 5, 7, 1, 5, 7, 4, 3, 0, 4, 1, 7, 3, 4, 7, 3, 1, 7, 3, 1, 4, 1, 3, 2, 5, 4]",33.27064647,34.12602081,6864,29369344
