architecture_id,chromosome,params,flops,valid_psnr,train_psnr,model,seed
arch_001,"[1, 2, 3, 4, 1, 0, 2, 5]",6200,24500000,31.40,31.10,toy,1
arch_002,"[2, 2, 3, 4, 1, 1, 2, 5]",8800,35100000,31.95,31.60,toy,1
arch_003,"[2, 3, 3, 5, 1, 1, 3, 5]",10200,40700000,32.15,31.90,toy,1
arch_004,"[3, 3, 4, 5, 2, 1, 3, 6]",14800,59300000,32.60,32.30,toy,1
arch_005,"[3, 4, 4, 5, 2, 2, 3, 6]",17200,68800000,32.80,32.45,toy,2
arch_006,"[4, 4, 4, 6, 2, 2, 4, 6]",21500,86100000,33.05,32.80,toy,2
arch_007,"[4, 5, 5, 6, 3, 2, 4, 7]",29200,116000000,33.20,32.95,toy,2
arch_008,"[5, 5, 5, 6, 3, 3, 4, 7]",33400,133000000,33.38,33.10,toy,2
arch_009,"[5, 6, 5, 7, 3, 3, 5, 7]",40100,160000000,33.52,33.20,toy,3
arch_010,"[6, 6, 6, 7, 4, 3, 5, 7]",55200,219000000,33.70,33.35,toy,3
arch_011,"[6, 7, 6, 7, 4, 4, 5, 7]",76000,301000000,33.82,33.45,toy,3
arch_012,"[7, 7, 7, 7, 4, 4, 6, 7]",99000,392000000,33.88,33.55,toy,3
