NET,Predicted Value,Valid PSNR,Error (%),Params,FLOPs,Model,Valid_PSNR_Normalized,Params_Normalized,FLOPs_Normalized,Weighted_Sum,Distance_to_Ideal
"[4, 7, 1, 5, 3, 0, 0, 7, 4, 6, 7, 3, 0, 7, 0, 2, 2, 0, 4, 3, 0, 4, 1, 0, 0, 0, 4, 0]",38.63995,33.82423401,14.23747242,3632,15795200,XGBoost,0.532372573,0.001679842,0.001650718,0.529042013,0.467633357
"[5, 7, 6, 7, 4, 3, 4, 3, 1, 3, 2, 0, 5, 3, 6, 2, 6, 5, 7, 7, 5, 6, 2, 0, 1, 1, 5, 5]",33.83783481,35.35825348,4.300038945,180704,741031936,SVR,0.952125492,0.220395257,0.2203791,0.511351135,0.315329963
"[4, 7, 6, 7, 4, 3, 4, 4, 1, 3, 2, 0, 5, 4, 6, 2, 6, 4, 7, 7, 5, 6, 2, 0, 1, 1, 4, 5]",33.36884135,34.56409836,3.458088209,9856,40800256,SVR,0.734821255,0.009367589,0.009192139,0.716261527,0.265503322
"[4, 7, 6, 7, 4, 3, 4, 4, 1, 4, 2, 0, 5, 4, 6, 2, 7, 2, 7, 7, 5, 6, 2, 0, 0, 1, 4, 5]",32.4893383,34.36985397,5.471410125,7200,30215168,SVR,0.681670268,0.006086957,0.005999721,0.669583591,0.318444447
"[4, 7, 6, 7, 4, 3, 4, 4, 1, 4, 2, 0, 5, 4, 6, 2, 7, 5, 7, 7, 5, 6, 2, 0, 1, 0, 4, 5]",33.1235906,34.46951294,3.904674668,7472,31363072,SVR,0.708939898,0.006422925,0.006345924,0.696171049,0.291200116
"[1, 7, 4, 3, 7, 4, 4, 7, 3, 0, 6, 1, 2, 7, 7, 4, 7, 5, 2, 2, 4, 5, 7, 1, 2, 1, 3, 4]",32.86255482,34.85128021,5.706319475,84512,347348992,Extra Trees,0.81340267,0.101581028,0.101645962,0.61017568,0.235518939
"[0, 7, 4, 3, 7, 4, 4, 7, 3, 0, 7, 1, 2, 7, 0, 4, 7, 5, 2, 2, 4, 5, 7, 1, 2, 1, 4, 3]",32.43018993,34.14280701,5.016040654,3904,16943104,Extra Trees,0.619543531,0.00201581,0.001996922,0.615530799,0.38046705
"[0, 7, 4, 3, 7, 4, 4, 7, 3, 0, 6, 0, 2, 7, 7, 4, 7, 5, 2, 2, 4, 5, 7, 1, 2, 1, 4, 3]",32.69391193,34.16478348,4.305227196,4720,20187136,Extra Trees,0.625556941,0.003023715,0.002975308,0.619557917,0.374467088
"[0, 7, 4, 3, 7, 4, 0, 7, 3, 6, 7, 4, 4, 7, 7, 4, 7, 4, 0, 7, 5, 2, 7, 1, 2, 7, 5, 4]",31.8337907,33.78348541,5.771147312,2272,10321920,Extra Trees,0.521222556,0,0,0.521222556,0.478777444
"[4, 7, 4, 4, 7, 2, 5, 6, 6, 1, 0, 6, 5, 7, 5, 1, 7, 0, 3, 7, 1, 5, 7, 5, 3, 7, 1, 2]",194125.25,34.67798233,N/A,27936,115310592,SynFlow,0.765983265,0.031699605,0.031664147,0.702619513,0.23826732
"[7, 7, 4, 4, 7, 2, 5, 6, 6, 1, 1, 6, 4, 7, 5, 1, 7, 5, 2, 7, 0, 6, 7, 4, 3, 7, 0, 5]",323200.34,35.53321457,N/A,316192,1295843328,SynFlow,1,0.387747036,0.387707907,0.224545057,0.548329449
